============================================================
  ALZHEIMER'S PMC DOWNLOAD — TOKEN REPORT
============================================================
  Papers downloaded : 299
  Total characters  : 25,237,251
  Total tokens      : 6,868,225
  Avg tokens/paper  : 22,970
============================================================

PMC ID           Tokens        Chars  Title
--------------------------------------------------------------------------------
PMC8088439       14,109       47,584  Genetic predisposition, Aβ misfolding in blood pla…
PMC3812809        8,834       30,855  NLRP3 is activated in Alzheimer´s disease and cont…
PMC7138569       14,175       54,192  Gut microbiota and pro/prebiotics in Alzheimer’s d…
PMC11097689       9,237       40,130  A Review of the Current Status of Disease-Modifyin…
PMC10931712      21,988       80,603  Recent Aspects of Periodontitis and Alzheimer’s Di…
PMC12191051      12,808       48,564  Serum Npas-4 and Nptx-2 Levels in Alzheimer’s Dise…
PMC9656789       24,203       93,497  Diet in the Prevention of Alzheimer’s Disease: Cur…
PMC12880356       5,010       19,722  Transforming growth factor beta and soluble endogl…
PMC6971833       64,412      225,464  Molecular Mechanisms and Genetics of Oxidative Str…
PMC12532695      36,702      148,751  Plasma proteomic associations with Alzheimer’s dis…
PMC9534798        8,115       27,291  Alzheimer-Erkrankung – welche Substanzen befinden …
PMC12425541      13,879       53,122  Associations between plasma beta amyloid and cogni…
PMC8481830       32,546      101,130  PET Imaging of Neuroinflammation in Alzheimer’s Di…
PMC12963612      23,296       80,985  A common 19 bp APOE enhancer deletion is protectiv…
PMC7188838       19,714       67,128  Investigating APOE, APP-Aβ metabolism genes and Al…
PMC7582082       27,488      115,089  Alzheimer's Disease as a Result of Stimulus Reduct…
PMC6459530       15,196       56,714  Pharmacological activation of the nuclear receptor…
PMC12173842      30,079      118,099  The Down Alzheimer Barcelona Neuroimaging Initiati…
PMC4345636        8,704       33,230  Amyloid pore-channel hypothesis: effect of ethanol…
PMC9968655        7,861       31,744  CDiP technology for reverse engineering of sporadi…
PMC11567137      14,644       51,504  Efectividad de las terapias no farmacológicas en p…
PMC7984263       17,265       60,624  A randomized, controlled clinical trial of plasma …
PMC10420049      40,066      141,900  Roles of Non-Coding RNA in Alzheimer’s Disease Pat…
PMC13117220      24,045       83,997  Use of anti–amyloid‐β monoclonal antibodies in per…
PMC4435228       11,581       44,567  Translocator Protein (TSPO) Role in Aging and Alzh…
PMC12834398      74,786      288,222  Inflammatory Bridges: Interconnections Between Alz…
PMC11918443      28,645      112,862  Potential multiple disease progression pathways in…
PMC9744435       17,309       67,742  Hypothesis on ontogenesis and pathophysiology of A…
PMC7999452       23,493       80,906  Astrocytes in Alzheimer’s Disease: Pathological Si…
PMC3714252       19,961       71,999  Age-Dependent Modulation of Synaptic Plasticity an…
PMC11485084      26,556      101,373  Bridging the gap: Multi‐omics profiling of brain t…
PMC5137165       19,570       80,075  Soluble Amyloid-beta Aggregates from Human Alzheim…
PMC8149344       19,825       79,770  How relevant are social costs in economic evaluati…
PMC10817083      25,014       85,287  Salivary Biomarkers for Alzheimer’s Disease: A Sys…
PMC11898251      12,696       50,491  Impact of 16S rRNA on Intestinal Flora Alterations…
PMC12964006      13,209       51,108  Longitudinal subcortical volume changes and their …
PMC12152531      10,378       37,454  Lecanemab Binds to Transgenic Mouse Model‐Derived …
PMC6609405        9,692       38,612  Alzheimer’s disease frequency peaks in the tenth d…
PMC12879555       2,194        8,356  Clinical trials for early (pre-dementia) Alzheimer…
PMC3391877        6,897       27,688  Activities of daily living and quality of life in …
PMC7277451       12,417       48,152  Prevalence of Comorbidities in Individuals Diagnos…
PMC8573750       16,558       59,531  Neurodegenerative Pathways in Alzheimer’s Disease:…
PMC12092370      14,506       51,311  Choroid plexus free‐water correlates with glymphat…
PMC9312829       26,811       92,082  Amylin and Secretases in the Pathology and Treatme…
PMC9961492       15,804       56,364  Alzheimer’s Disease: A Brief History of Immunother…
PMC8613538       28,269       93,744  Mass spectrometry analysis of tau and amyloid‐beta…
PMC4845325       21,475       87,542  Network-driven plasma proteomics expose molecular …
PMC9721355       27,072       86,009  Explainable Tensor Multi-Task Ensemble Learning Ba…
PMC6015111       19,736       74,592  Alzheimer’s disease pathology propagation by exoso…
PMC12173837      18,430       70,745  Comparing clinical features of behavioral variant …
